,Iteration,Model_Type,R2_Train,R2_Test,RMSE_Train,RMSE_Test,CI_Lower_Test,CI_Upper_Test
168,19,Stepwise,0.33931547,0.214451882,1441.738617,1399.114127,865.658771,2169.478373
169,19,RandomForest,0.364679812,0.227070157,1413.79288,1387.831638,950.415468,2244.997998
170,19,Bagging,0.459044189,0.286882602,1304.578922,1333.052525,1016.195361,2258.675932
171,19,ANN,-5.294074957,-6.343214607,4449.952934,4277.695393,-2420.92254,926.2665385
172,20,Lasso,0.339258334,0.083104795,1483.245147,1193.638838,1442.943156,2358.191014
173,20,Ridge,0.262186445,0.069263255,1567.365936,1202.614735,1335.993872,2307.675242
174,20,Quantile Regression,0.293822168,0.224412241,1533.395304,1202.614735,1118.667428,2079.958316
175,20,Log-Linear,0.215032175,0.424725622,1616.676096,945.4762113,680.8577005,1557.778514
176,20,OLS,0.339274125,0.080342033,1483.227423,1195.435804,1444.219239,2360.384726
177,20,Stepwise,0.339274125,0.080342033,1483.227423,1195.435804,1444.219239,2360.384726
178,20,RandomForest,0.350566458,0.213424689,1470.498029,1105.562364,1266.451483,2184.121358
179,20,Bagging,0.442808451,0.306524741,1362.069754,1038.074628,1107.479625,2021.26418
180,20,ANN,-5.033462443,-20.6083499,4482.088171,5794.605741,-3869.042957,915.0267448
181,21,Lasso,0.297567491,0.444109464,1482.906225,1153.38022,920.2861797,1983.445895
182,21,Ridge,0.24965858,0.412326125,1532.64244,1185.89449,1007.864098,2084.709482
183,21,Quantile Regression,0.278492515,0.467015498,1502.905962,1185.89449,688.9650252,1741.055532
184,21,Log-Linear,0.186325086,0.557084664,1596.014564,1029.528132,710.8191135,1667.946806
185,21,OLS,0.299274899,0.443318167,1481.102873,1154.200833,883.9886583,1952.338347
186,21,Stepwise,0.291435726,0.409842287,1489.36455,1188.397974,887.6517596,1985.892658
187,21,RandomForest,0.339613681,0.307991517,1437.839534,1286.866716,1106.55276,2246.893091
188,21,Bagging,0.446008646,0.342482641,1316.930574,1254.386786,1188.472837,2277.664737
189,21,ANN,-5.666409299,-598.4970021,4568.32901,37876.63308,-10513.28117,24421.25697
190,22,Lasso,0.338921422,-0.690630902,1529.05672,914.0110802,1157.103504,1879.106938
191,22,Ridge,0.284750685,-0.706984798,1590.471089,918.4211697,1301.920141,1953.805752
192,22,Quantile Regression,0.305700147,-0.194632194,1567.005751,918.4211697,866.6284195,1562.789486
193,22,Log-Linear,0.214261709,0.089411782,1667.001585,670.7923058,543.00713,1143.519874
194,22,OLS,0.338937017,-0.697312571,1529.038685,915.8154649,1154.636651,1879.292668
195,22,Stepwise,0.326423017,-0.707248015,1543.443275,918.4919775,1206.860172,1909.189129
196,22,RandomForest,0.34446818,-0.39121919,1522.628459,829.1342183,1306.13287,1876.865368
197,22,Bagging,0.422207393,0.362591487,1429.496327,561.223682,885.5595442,1398.891538
198,22,ANN,-4.571737678,-70.85809761,4439.073996,5958.883802,-1643.664899,3914.36832
199,23,Lasso,0.405346133,0.055878301,1300.846775,1837.208918,910.4136425,2617.252758
200,23,Ridge,0.32670843,0.121361678,1384.189688,1772.350555,856.8169199,2492.948251
201,23,Quantile Regression,0.374148285,0.069327165,1334.534312,1772.350555,727.3118882,2393.620125
202,23,Log-Linear,0.313695223,0.043986084,1397.502302,1848.743508,454.4922995,2061.003836
203,23,OLS,0.405694188,0.052677217,1300.466023,1840.320849,911.0838798,2621.024782
